PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
SEWARD (WILLIAM),108,BASKETBALL COURT,OUTDOOR,1173292.20704,1907868.6098199999,"(41.902616999999999, -87.638906000000006)"
SEWARD (WILLIAM),108,BASKETBALL BACKBOARD,OUTDOOR,1173290.3474600001,1907895.7600199999,"(41.902690999999997, -87.638912000000005)"
SEWARD (WILLIAM),108,BASKETBALL BACKBOARD,OUTDOOR,1173292.5787599999,1907839.22798,"(41.902535999999998, -87.638906000000006)"
SHABBONA,148,HORSESHOE COURT,OUTDOOR,1129320.01086,1922531.1021400001,"(41.943716000000002, -87.800090999999995)"
SHABBONA,148,HORSESHOE COURT,OUTDOOR,1129338.17946,1922531.59296,"(41.943716999999999, -87.800023999999993)"
SHABBONA,148,GYMNASTIC CENTER,INDOOR,1129456.0296199999,1922586.0987499999,"(41.943863999999998, -87.799589999999995)"
SHABBONA,148,FITNESS CENTER,INDOOR,1129474.68936,1922516.8616899999,"(41.943674000000001, -87.799522999999994)"
SHERIDAN (PHILIP HENRY),205,BOXING CENTER,INDOOR,1169102.46083,1896146.5781400001,"(41.870542999999998, -87.654635999999996)"
SHERMAN (JOHN),7,LAGOON,OUTDOOR,1168583.8371900001,1869609.37564,"(41.797733000000001, -87.657307000000003)"
SHERMAN (JOHN),7,VOLLEYBALL,OUTDOOR,1168217.3805800001,1869815.95429,"(41.798307999999999, -87.658645000000007)"
SHERMAN (JOHN),7,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1168535.45245,1868824.4677599999,"(41.795580999999999, -87.657506999999995)"
LINCOLN (ABRAHAM),100,LAGOON,OUTDOOR,1175510.26199,1914595.4818599999,"(41.921025999999998, -87.630555999999999)"
MARQUETTE (JACQUES),10,LAGOON,OUTDOOR,1154535.39121,1858736.8471899999,"(41.768189, -87.709114999999997)"
MCKINLEY (WILLIAM),23,LAGOON,OUTDOOR,1162878.6238599999,1879610.48064,"(41.825299000000001, -87.677948999999998)"
PROSPECT GARDENS,49,GARDEN,OUTDOOR,1165854.85873,1831837.37179,"(41.694139999999997, -87.668385000000001)"
RIDGE PARK WETLANDS,490,WETLAND AREA,OUTDOOR,1165889.0640400001,1841334.4029900001,"(41.720201000000003, -87.667991000000001)"
RENAISSANCE,168,GARDEN,OUTDOOR,1168995.7901099999,1852480.88693,"(41.750722000000003, -87.656290999999996)"
DAWES (CHARLES G.),239,BASKETBALL BACKBOARD,OUTDOOR,1163900.6287100001,1851080.01572,"(41.746986, -87.675000999999995)"
DAWES (CHARLES G.),239,BASKETBALL BACKBOARD,OUTDOOR,1163836.74006,1851078.9740500001,"(41.746985000000002, -87.675235000000001)"
HARDING (GEORGE),1033,BASKETBALL BACKBOARD,OUTDOOR,1179140.47881,1872352.5141799999,"(41.805025999999998, -87.618510999999998)"
PALMISANO (HENRY),531,CASTING PIER,OUTDOOR,1170460.74682,1886401.05859,"(41.843770999999997, -87.649934000000002)"
PALMISANO (HENRY),531,LAGOON,OUTDOOR,1170291.4423700001,1886394.93918,"(41.843758000000001, -87.650555999999995)"
PALMISANO (HENRY),531,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1170417.91062,1885909.4641,"(41.842422999999997, -87.650105999999994)"
PALMISANO (HENRY),531,WETLAND AREA,OUTDOOR,1170093.5805599999,1886329.66503,"(41.843583000000002, -87.651284000000004)"
EDISON (THOMAS ALVA),62,MODEL TRAIN DISPLAY,SPECIAL,1124432.5268699999,1944478.26954,"(42.004022999999997, -87.817570000000003)"
CALUMET,11,MODEL TRAIN DISPLAY,SPECIAL,1203443.5305999999,1840794.9089899999,"(41.717841999999997, -87.530460000000005)"
SIMONS (ALMIRA),124,BOXING CENTER,INDOOR,1152466.39469,1910811.38543,"(41.911129000000003, -87.715325000000007)"
TAYLOR (ROBERT ROCHON),271,BOXING CENTER,INDOOR,1176486.9444200001,1873741.90215,"(41.808898999999997, -87.628201000000004)"
"TAYLOR-LAURIDSEN (JOHN, EMIL)",1025,SPRAY FEATURE,OUTDOOR,1172292.9839699999,1877304.7792100001,"(41.818770000000001, -87.643478000000002)"
"TAYLOR-LAURIDSEN (JOHN, EMIL)",1025,FITNESS CENTER,INDOOR,1172215.5625400001,1877000.52654,"(41.817936000000003, -87.643771000000001)"
TRUMBULL (LYMAN),16,GYMNASIUM,INDOOR,1194203.3335299999,1836370.9513000001,"(41.705933000000002, -87.564447000000001)"
UNION,210,HORSESHOE COURT,OUTDOOR,1166370.8002800001,1901025.0851199999,"(41.883989, -87.664524999999998)"
UNION,210,HORSESHOE COURT,OUTDOOR,1166358.83672,1901033.06115,"(41.884011000000001, -87.664569)"
WARREN (LAURENCE),428,HORSESHOE COURT,OUTDOOR,1159928.9991899999,1944323.1402499999,"(42.002935999999998, -87.686981000000003)"
WARREN (LAURENCE),428,HORSESHOE COURT,OUTDOOR,1159915.30171,1944320.0963000001,"(42.002927999999997, -87.687032000000002)"
WASHINGTON (GEORGE),21,PLAYGROUND,OUTDOOR,1180206.3979400001,1867568.2389700001,"(41.791874, -87.614748000000006)"
WASHINGTON (GEORGE),21,SPRAY FEATURE,OUTDOOR,1180018.96557,1870253.2083399999,"(41.799245999999997, -87.615352999999999)"
